file,a dog barking,a plane cruising,a train passing,a quiet forest,a car engine revving,birds chirping
13.25 vlg4bp.wav,0.0738053023815155,0.15251098573207855,0.11206619441509247,0.3141583204269409,-0.03464989364147186,0.2443414032459259
13.29 wzz934.wav,0.07235687971115112,0.23156023025512695,0.16667407751083374,0.2597901225090027,-0.015368483029305935,0.2677856683731079
13.32 ezy79ek.wav,0.06790939718484879,0.23603683710098267,0.21788248419761658,0.2053077220916748,0.024355225265026093,0.3451445400714874
13.40 tsc123.wav,0.09663083404302597,0.26299282908439636,0.2190166711807251,0.22849352657794952,0.05314991623163223,0.23821790516376495
13.43 ubt70a.wav,0.05779270827770233,0.2725089490413666,0.14198166131973267,0.2421012818813324,0.006071425508707762,0.24662092328071594
13.47 ezy37hr.wav,0.09786440432071686,0.1793004721403122,0.14414194226264954,0.31854256987571716,-0.03838496655225754,0.2868686020374298
13.48 ezy247g.wav,0.09064425528049469,0.36483943462371826,0.25813552737236023,0.2799704670906067,0.058549508452415466,0.2730749845504761
13.51 baw2203.wav,0.11835452169179916,0.24041476845741272,0.287268728017807,0.26932650804519653,0.04411795362830162,0.2597506642341614
14.01 ezy174d.wav,0.058122389018535614,0.3282932639122009,0.2216624617576599,0.20895317196846008,0.013277905061841011,0.28077900409698486
14.07 dal63.wav,0.07907844334840775,0.05835140496492386,0.10221884399652481,0.29420042037963867,-0.09224144369363785,0.2542571723461151
14.10 ezy465x.wav,0.08024975657463074,0.3336438536643982,0.20705032348632812,0.24960893392562866,0.02766711264848709,0.29575568437576294
14.16 efw06b.wav,0.05242731422185898,0.17825859785079956,0.14982415735721588,0.3390607237815857,-0.057860687375068665,0.29026010632514954
14.19 ezy6519.wav,0.09709607064723969,0.3965594172477722,0.2758471965789795,0.20943820476531982,0.0725812092423439,0.23207058012485504
14.20 baw23k.wav,0.05715635418891907,0.2627967298030853,0.192782461643219,0.24888326227664948,0.007506194524466991,0.21265043318271637
14.22 ezy85rg.wav,0.10290759056806564,0.08950765430927277,0.12281975895166397,0.2654605507850647,-0.04052563011646271,0.20854932069778442
14.23 ezy458w.wav,0.09597819298505783,0.3205122649669647,0.25797751545906067,0.22413042187690735,0.05975402519106865,0.22748547792434692
14.30 ezy58jm.wav,0.10392467677593231,0.119612917304039,0.0904986560344696,0.2918447256088257,-0.06017355993390083,0.2858084738254547
14.33 ezy96qg.wav,0.07078753411769867,0.12804721295833588,0.14189472794532776,0.33760419487953186,-0.05790221691131592,0.2995995879173279
14.37 ezy185b.wav,0.04881054908037186,0.2709923982620239,0.19776317477226257,0.20376993715763092,-0.017440518364310265,0.27623721957206726
14.42 wuk4hp.wav,0.09242402017116547,0.2653474509716034,0.2930222153663635,0.25015905499458313,-0.018266351893544197,0.2723843455314636
14.45 tom642.wav,0.04309653490781784,0.3202444314956665,0.23889502882957458,0.19869044423103333,0.0032907717395573854,0.25688862800598145
14.47 vlg97cv.wav,0.05463416874408722,0.12070026993751526,0.13697591423988342,0.30943983793258667,-0.08995536714792252,0.30038031935691833
14.48 thy7lj.wav,0.0630764290690422,0.24821880459785461,0.18154773116111755,0.27813947200775146,-0.03841615468263626,0.2844133973121643
14.50 ezy25nz.wav,0.05009891092777252,0.23566845059394836,0.28064554929733276,0.24666467308998108,-0.01596839167177677,0.32052287459373474
14.53 efw4yw.wav,0.08818744122982025,0.37080708146095276,0.2324591428041458,0.19415225088596344,0.04222533479332924,0.24012768268585205
14.55 tom4ce.wav,0.07806431502103806,0.34797704219818115,0.24371707439422607,0.142697274684906,0.044129177927970886,0.14837397634983063
14.58 ezy93yz.wav,0.09996327012777328,0.24787186086177826,0.1750723272562027,0.2693629860877991,-0.0019843222107738256,0.2629474997520447
15.00 seh7ga.wav,0.08643397688865662,0.25314778089523315,0.16869285702705383,0.2580936551094055,-0.018651939928531647,0.32110506296157837
15.03 noz15u.wav,0.039253562688827515,0.3007330298423767,0.31310078501701355,0.20400288701057434,0.021516842767596245,0.1421273946762085
15.04 baw2039.wav,0.055779021233320236,0.1506572812795639,0.14336645603179932,0.22542287409305573,-0.05332568660378456,0.22632475197315216
15.06 tom2bk.wav,0.052122071385383606,0.20478002727031708,0.14861291646957397,0.30241158604621887,-0.05973593145608902,0.23975171148777008
15.08 efw4ly.wav,0.035792794078588486,0.25029656291007996,0.1541346311569214,0.2782454490661621,-0.0432409904897213,0.18709491193294525
15.19 vlg1nj.wav,0.09114565700292587,0.17824172973632812,0.16380581259727478,0.3428927958011627,-0.028237372636795044,0.24491506814956665
15.26 ezy891a.wav,0.08461791276931763,0.14994655549526215,0.18818745017051697,0.2432885318994522,-0.01823216676712036,0.16373644769191742
15.30 efw73h.wav,0.08119817078113556,0.38630902767181396,0.2966439127922058,0.22935575246810913,0.11257603764533997,0.18853679299354553
