file,airplane,bells,birds,cats,chicken coop,cicadas and crickets,clacson,crows and seagulls,dogs,garbage,helicopter,lawn mower and bush cutter,music,sirens and alarms,thunder fireworks and gunshot,train,vacuum cleaner,fan and hairdryer,vehicle idling,vehicle pass-by,voices,workshop
13.25 vlg4bp.wav,0.03962254524230957,0.04485531523823738,0.25831758975982666,0.15185707807540894,0.08152034133672714,0.19960027933120728,0.09041786193847656,0.16448144614696503,0.14965322613716125,0.029617922380566597,0.0404856875538826,0.10172887146472931,0.03964235633611679,-0.023119479417800903,0.08555638790130615,0.10103736817836761,0.05609523504972458,0.022977329790592194,-0.016513708978891373,-0.004452317953109741,0.04513966292142868,-0.0006740149110555649
13.29 wzz934.wav,0.2475084662437439,0.011417781934142113,0.29417210817337036,0.12953917682170868,0.10250920802354813,0.17675097286701202,0.0603056363761425,0.19118762016296387,0.06164050102233887,0.0652233138680458,0.15225288271903992,0.13003098964691162,0.05284798890352249,0.034453198313713074,0.1770043969154358,0.31935691833496094,0.11815261840820312,0.10017499327659607,-0.0002104709856212139,0.08917337656021118,0.07437428086996078,0.0334618017077446
13.32 ezy79ek.wav,0.19987624883651733,0.1442437320947647,0.35985809564590454,0.1285836398601532,0.21088974177837372,0.19141162931919098,0.11043886840343475,0.32601648569107056,0.12049708515405655,0.13223883509635925,0.15131588280200958,0.25421667098999023,0.06224578619003296,0.14770740270614624,0.18261444568634033,0.24858352541923523,0.09988673776388168,0.13039949536323547,0.05293010175228119,0.09146048873662949,0.09263505041599274,0.06456117331981659
13.40 tsc123.wav,0.36933189630508423,0.1135677695274353,0.31647181510925293,0.22314830124378204,0.16576074063777924,0.374164342880249,0.15870004892349243,0.2782303988933563,0.17021751403808594,0.05807263404130936,0.281871497631073,0.23297293484210968,0.09010384976863861,0.17390936613082886,0.24265900254249573,0.3091803789138794,0.12351654469966888,0.18513743579387665,0.08429316431283951,0.16668659448623657,0.17151464521884918,0.037387143820524216
13.43 ubt70a.wav,0.3444722592830658,0.0685301199555397,0.2589130997657776,0.08746813237667084,0.15787273645401,0.22939983010292053,0.07588230073451996,0.19338561594486237,0.0671067088842392,0.0302090123295784,0.26614460349082947,0.20725759863853455,0.04513494297862053,0.10944214463233948,0.14039087295532227,0.18410181999206543,0.10351186990737915,0.08972200751304626,0.018697088584303856,0.1281771957874298,0.0923340693116188,0.006711625028401613
13.47 ezy37hr.wav,0.14170780777931213,0.11443279683589935,0.3589116334915161,0.18853101134300232,0.15984901785850525,0.30850064754486084,0.12209425866603851,0.2995118200778961,0.1553989052772522,0.038878701627254486,0.10880334675312042,0.17305728793144226,0.08312034606933594,0.06887435168027878,0.18864159286022186,0.15819497406482697,0.028521502390503883,0.047162868082523346,-0.034152500331401825,0.04910631105303764,0.09097746759653091,0.01741483062505722
13.48 ezy247g.wav,0.3698921203613281,0.12743417918682098,0.2990398406982422,0.1578485667705536,0.12568140029907227,0.3017197549343109,0.11656612902879715,0.21428044140338898,0.09766927361488342,0.07075221836566925,0.2552204728126526,0.15074235200881958,0.10666201263666153,0.13071078062057495,0.2848638594150543,0.2894130051136017,0.0993388295173645,0.1150018647313118,0.06628397107124329,0.20119163393974304,0.10569265484809875,0.02407221309840679
13.51 baw2203.wav,0.22620008885860443,0.1325693428516388,0.2862101197242737,0.174142986536026,0.1258922815322876,0.2952616810798645,0.0984874814748764,0.2185109555721283,0.1143149882555008,0.1124374121427536,0.1775149405002594,0.2144221067428589,0.08848405629396439,0.16432024538516998,0.1999230980873108,0.28986120223999023,0.15415319800376892,0.15584725141525269,0.07234878838062286,0.15684163570404053,0.08805544674396515,0.030767634510993958
14.01 ezy174d.wav,0.3047974705696106,0.11464991420507431,0.27713727951049805,0.11076484620571136,0.15148138999938965,0.26333892345428467,0.05949253588914871,0.22659838199615479,0.08135583251714706,0.12995091080665588,0.25762391090393066,0.24371503293514252,0.06221432238817215,0.13363465666770935,0.23521994054317474,0.283363938331604,0.15439501404762268,0.15671083331108093,0.0709913969039917,0.1587236374616623,0.08013249933719635,0.07429048418998718
14.07 dal63.wav,0.3009101152420044,0.10102152824401855,0.31867265701293945,0.16384871304035187,0.1301523745059967,0.28293418884277344,0.102327361702919,0.24203723669052124,0.12377363443374634,0.04065948724746704,0.24581003189086914,0.17330238223075867,0.05740831792354584,0.1204991415143013,0.26469486951828003,0.23993602395057678,0.09141659736633301,0.08663220703601837,0.0162004716694355,0.13700871169567108,0.08101212233304977,-0.0020084045827388763
